0,1,1,0,0,1,0,1,2,2,2,2,1,1,1,1,1,0,0,1,-1,0,0,0,0,0,5,5,4,5,6,6,5,5,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,13.000,27.000,23.000,22.000,55.000,78.000,57.000,20.000,16.000,28.000,46.000,58.000,55.000,22.000,49.000,22.000
0,1,1,0,1,1,0,0,2,2,2,2,1,1,1,1,1,0,0,0,-1,0,0,0,0,0,14,14,13,13,13,13,13,13,0,-1.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,2.000,21.000,18.000,16.000,21.000,28.000,25.000,11.000,25.000,16.000,45.000,59.000,88.000,4.000,19.000,16.000
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,2,1,0,3,4,2,2,6,4,4,3,0,-1.000,1.000,-1.000,0.000,0.000,-1.000,-1.000,13.000,19.000,3.000,11.000,2.000,4.000,4.000,8.000,3.000,4.000,1.000,1.000,1.000,3.000,2.000,1.000
1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,1,0,0,10,10,9,8,10,10,9,9,1,0.000,3.000,-1.000,0.000,0.000,-1.000,0.000,13.000,8.000,1.000,2.000,1.000,1.000,1.000,2.000,3.000,1.000,1.000,1.000,2.000,2.000,1.000,1.000
4,0,1,0,0,0,0,0,1,1,1,1,0,-1,-1,-1,0,0,0,0,-1,-1,1,0,0,2,9,9,8,8,8,8,8,8,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,1.000,1.000,2.000,7.000,5.000,3.000,4.000,1.000,23.000,5.000,1.000,0.000,10.000,14.000,20.000,9.000
1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,-2,0,0,0,0,-1,2,0,2,1,2,8,8,8,8,8,9,8,9,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,1145.000,1017.000,1621.000,1130.000,883.000,986.000,1115.000,1365.000,1491.000,1334.000,807.000,747.000,597.000,726.000,684.000,594.000
0,0,0,0,1,0,0,0,1,0,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1,0,1,1,0,8,8,7,7,8,8,8,8,1,0.000,3.000,-1.000,0.000,0.000,-1.000,0.000,25.000,21.000,1.000,7.000,0.000,1.000,11.000,1.000,12.000,10.000,7.000,8.000,1.000,4.000,11.000,8.000
0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,-1,0,-1,-1,-1,-1,2,0,2,0,0,4,4,4,4,5,5,5,5,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,151.000,191.000,284.000,280.000,162.000,230.000,249.000,195.000,211.000,252.000,60.000,108.000,132.000,72.000,148.000,156.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,2,0,2,0,3,10,9,9,8,9,9,8,8,-1,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,38.000,18.000,41.000,31.000,816.000,409.000,372.000,98.000,67.000,77.000,844.000,815.000,1107.000,1629.000,1380.000,1129.000
-1,0,-1,1,0,0,0,0,0,-1,-1,-1,0,0,0,-3,0,0,0,0,-1,0,0,0,2,1,6,6,5,6,6,6,6,6,-1,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,38.000,27.000,11.000,17.000,17.000,6.000,9.000,11.000,17.000,24.000,16.000,12.000,10.000,4.000,13.000,9.000
